"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"Percentage port"
"01/30/2019 22:14:27:728 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"25","10","10","40","25","150","1","120","51497.59999999989","3582","47915.59999999989","1815","36.89999999999997","3406102.904667691"
"26","10","10","50","25","150","1","120","49561.59999999989","3582","45979.59999999989","2268.75","36","3217336.9033638537"
"27","10","10","50","25","150","1","120","40268.799999999996","3582","36686.799999999996","2268.75","25.5","2674018.126383214"
"28","10","10","50","25","150","1","120","42204.80000000002","3582","38622.80000000002","2268.75","28.5","2787954.0792186353"
"29","10","10","50","25","150","1","120","53433.59999999989","3582","49851.59999999989","2268.75","33.75","3535444.3525347617"
"30","10","10","50","25","150","1","120","46076.800000000054","3582","42494.800000000054","2268.75","29.25","2966066.880395442"
"31","10","10","60","25","150","1","120","51497.59999999989","3582","47915.59999999989","2722.5","25.200000000000017","3393106.2877711556"
"32","10","10","60","25","150","1","120","45689.599999999904","3582","42107.599999999904","2722.5","29.400000000000027","2941239.9811373926"
"33","10","10","60","25","150","1","120","48787.19999999993","3582","45205.19999999993","2722.5","23.400000000000013","3127629.8154528025"
"34","10","10","60","25","150","1","120","48400","3582","44818","2722.5","22.20000000000001","3167589.761230775"
"35","10","10","60","25","150","1","120","39881.59999999991","3582","36299.59999999991","2722.5","18.6","2539017.3936402253"
"36","10","10","70","25","150","1","120","51497.59999999989","3582","47915.59999999989","3176.25","21.14999999999998","3396599.9533727886"
"37","10","10","70","25","150","1","120","55369.59999999989","3582","51787.59999999989","3176.25","21.14999999999998","3590483.229164997"
"38","10","10","70","25","150","1","120","53433.59999999989","3582","49851.59999999989","3176.25","19.799999999999983","3483497.536559458"
"39","10","10","70","25","150","1","120","45689.5999999999","3582","42107.5999999999","3176.25","19.799999999999983","2889999.3045903565"
"40","10","10","70","25","150","1","120","45689.5999999999","3582","42107.5999999999","3176.25","18.449999999999985","2980820.4824563684"
"41","10","10","80","25","150","1","120","57305.59999999988","3582","53723.59999999988","3630","17.40000000000002","3728004.712918141"
"42","10","10","80","25","150","1","120","53046.40000000011","3582","49464.40000000011","3630","12.600000000000009","3397192.077533049"
"43","10","10","80","25","150","1","120","45689.5999999999","3582","42107.5999999999","3630","12.600000000000009","2975516.7422956945"
"44","10","10","80","25","150","1","120","57305.59999999988","3582","53723.59999999988","3630","16.80000000000002","3724300.3878171286"
"45","10","10","80","25","150","1","120","52659.19999999991","3582","49077.19999999991","3630","12.300000000000008","3288613.0648690313"
"46","10","10","90","25","150","1","120","46851.199999999946","3582","43269.199999999946","4083.75","5.700000000000003","3008544.145247805"
"47","10","10","90","25","150","1","120","55756.800000000105","3582","52174.800000000105","4083.75","7.050000000000006","3688336.364666038"
"48","10","10","90","25","150","1","120","50723.19999999992","3582","47141.19999999992","4083.75","7.350000000000007","3308881.09682954"
"49","10","10","90","25","150","1","120","49561.5999999999","3582","45979.5999999999","4083.75","6.150000000000004","3240284.128761706"
"50","10","10","90","25","150","1","120","48400","3582","44818","4083.75","6.150000000000004","3241714.8179802825"
"51","10","10","100","25","150","1","120","55756.800000000105","3582","52174.800000000105","4537.5","0","3656571.796074648"
"52","10","10","100","25","150","1","120","47238.4000000001","3582","43656.4000000001","4537.5","0","3079092.0963544752"
"53","10","10","100","25","150","1","120","54982.40000000011","3582","51400.40000000011","4537.5","0","3612379.849892578"
"54","10","10","100","25","150","1","120","47625.5999999999","3582","44043.5999999999","4537.5","0","3135518.180951195"
"55","10","10","100","25","150","1","120","49561.59999999989","3582","45979.59999999989","4537.5","0","3222584.934058795"
